Id,Name,Slug,"Term Taxonomy Id",Taxonomy,"Parent Id","Parent Slug",Description,"Term Group",Count,"Category Image","Woocommerce Term Meta"
78,"Roupas de Festas / Baile / Formatura",roupas-de-festas,78,product_cat,18,itens,,0,12,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
79,"Roupas de Frio / Jaquetas / Casacos",roupas-de-frio,79,product_cat,18,itens,,0,30,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
80,"Roupas de Grife / Especiais",roupas-de-grife,80,product_cat,18,itens,,0,0,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
81,"Roupas de Praia / Piscina",roupas-de-praia,81,product_cat,18,itens,,0,0,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
82,"Roupas do Dia-a-Dia",roupas-do-dia-a-dia,82,product_cat,18,itens,,0,54,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}}"
83,"Roupas de Religiões",roupas-de-religioes,83,product_cat,18,itens,,0,6,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
84,"Roupas Femininas",roupas-femininas,84,product_cat,18,itens,,0,24,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}}"
85,"Roupas Íntimas &amp; Delicadas (Unisex)",roupas-intimas-delicadas,85,product_cat,18,itens,,0,12,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
86,"Roupas Sociais (Unisex)",roupas-sociais,86,product_cat,18,itens,,0,30,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
87,"Tapetes / Cortinas / Carpetes",tapetes-cortinas,87,product_cat,18,itens,,0,30,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
